"Ghost, Frostfell", "Fr", "132", "Undead (Incorporeal)", "Varies"
"Giant", "FF", "81", "Gaint", "Varies"
"Giant", "MM", "119", "Giant", "Varies"
"Giant", "MM2", "109", "Giant", "Varies"
"Giant, Frost", "Fr", "133", "Giant, Large (Cold)", "Varies"
"Gnome", "MM", "131", "Humanoid, Small (Gnome)", "Varies"
"Gnome, Fire", "PlH", "125", "Humanoid, Small (Gnome, Extraplanar)", "Varies"
"Gnome, Forest", "MM", "132", "Humanoid, Small (Gnome)", "Varies"
"Gnome, Svirfneblim", "MM", "132", "Humanoid, Small (Gnome)", "Varies"
"Goblin, Forestkith", "MM3", "64", "Humanoid, Small (Goblinoid)", "Varies"
"Golem", "Dr", "163", "Construct", "Varies"
"Golem", "EL", "193", "Construct", "Varies"
"Golem", "FF", "83", "Construct", "Varies"
"Golem", "MM", "134", "Construct", "Varies"
"Golem", "MM2", "115", "Construct", "Varies"
"Golem", "MM3", "66", "Construct", "Varies"
"Guardinal", "BE", "172", "Outsider (Extraplanar, Good,Guardinal)", "Varies"
"Guardinal", "MM", "141", "Outsider (Extarplanar, Good, Guardinal)", "Varies"
"Hag", "MM", "143", "Monstrous Humanoid", "Varies"
"Hagspawn", "Una", "65", "Monstrous Humanoid, Medium", "Varies"
"Half-Celestial", "MM", "144", "Outsider", "Varies"
"Half-Dragon", "Dr", "166", "Base", "Varies"
"Half-Dragon", "MM", "146", "Dragon", "Varies"
"Half-Elf", "MM", "102", "Humanoid, Medium (Elf)", "Varies"
"Half-Fiend", "MM", "147", "Outsider", "Varies"
"Half-Golem", "MM2", "209", "Construct", "Varies"
"Halfling", "MM", "149", "Humanoid, Small (Halfling)", "Varies"
"Halfling, Tallfellow", "MM", "149", "Humanoid, Small (Halfling)", "Varies"
"Half-Orc", "MM", "204", "Humanoid, Medium (Orc)", "Varies"
"Horse", "MM", "273", "Animal, Large", "Varies"
"Howler", "MM", "154", "Outsider, Large (Chaotic, Evil, Extraplanar)", "Varies"
"Hydra", "MM", "155", "Magical Beast, Huge", "Varies"
"Ice Beast", "Fr", "138", "Construct (Cold)", "Varies"
"Illithidae", "LoM", "154", "Aberration", "Varies"
"Imp", "FF", "97", "Outsider, Tiny (Evil, Extraplanar, Lawful)", "Varies"
"Inevitable", "FF", "101", "Construct", "Varies"
"Inevitable", "MM", "158", "Construct (Extraplanar, Lawful)", "Varies"
"Ixitxachitl", "MM2", "128", "Aberration, Small (Aquatic)", "Varies"
"Kython", "BV", "178", "Aberration", "Varies"
"Landwyrm", "Dr", "168", "Dragon", "Varies"
"Legendary Animal", "EL", "201", "Animal", "Varies"
"Legendary Animal", "MM2", "136", "Animal", "Varies"
"Li Lung (Earth Dragon)", "OA", "156", "Dragon (Earth, Spirit)", "Varies"
"Lich", "MM", "166", "Undead", "Varies"
"Linnorm", "MM2", "140", "Dragon", "Varies"
"Living Spell", "MM3", "91", "Ooze", "Varies"
"Lost", "MoI", "181", "(Incarnum)", "Varies"
"Lung Wang (Sea Dragon)", "OA", "157", "Dragon (Spirit, Water)", "Varies"
"Magmin", "MM", "179", "Elemental, Small (Fire, Extraplanar)", "Varies"
"Marruspawn", "Sa", "168", "Base", "Varies"
"Mephit", "MM", "180", "Outsider, Small", "Varies"
"Midnight Construct", "MoI", "184", "Construct (Incarnum)", "Varies"
"Mindshredder", "MM3", "102", "Aberration", "Varies"
"Monster of Legend", "MM2", "213", "Base", "Varies"
"Myconid", "MM2", "154", "Plant", "Varies"
"Naga", "MM", "191", "Aberration", "Varies"
"Neogi", "MM2", "158", "Aberration", "Varies"
"Nerra", "FF", "127", "Outsider (Extarplanar)", "Varies"
"Nightshade", "MM", "195", "Undead", "Varies"
"Ooze", "MM", "201", "Ooze", "Varies"
"Ooze, Aquatic", "FF", "16", "Ooze", "Varies"
"Pan Lung (Coiled Dragon)", "OA", "158", "Dragon (Spirit, Water)", "Varies"
"Petitioner", "MP", "199", "Outsider", "Varies"
"Phaerimm", "LE", "187", "Aberration", "Varies"
"Planetouched", "FF", "136", "Outsider", "Varies"
"Planetouched", "MM", "209", "Outsider (Native)", "Varies"
"Planetouched", "MM2", "169", "Outsider, Medium", "Varies"
"Psicrystal", "XPH", "207", "Construct, Diminutive", "Varies"
"Psurlon", "LoM", "162", "Aberration", "Varies"
"Psurlon", "MM2", "171", "Aberration", "Varies"
"Pyrohydra", "MM", "156", "Magical Beast, Huge (Fire)", "Varies"
"Raggamoffyn", "MM2", "174", "Construct", "Varies"
"Revenant", "Mon", "93", "Base", "Varies"
"Rilkan", "MoI", "189", "Humanoid, Medium (Reptillian)", "Varies"
"Rilmani", "FF", "140", "Outsider", "Varies"
"Salamander", "MM", "218", "Outsider (Extarplanar, Fire)", "Varies"
"Sarkrith", "FF", "145", "Monstrous Humanoid, Large", "Varies"
"Scorpion, Monstrous", "MM", "287", "Vermin", "Varies"
"Shade", "FRCS", "314", "Undead", "Varies"
"Shadow", "MM", "221", "Undead, Medium (Incorporeal)", "Varies"
"Shadow Sibling", "MoE", "156", "Aberration, Medium (Symbiont, Incorporeal)", "Varies"
"Shark", "MM", "279", "Animal, (Aquatic)", "Varies"
"Sharn", "Mon", "76", "Aberration, Large", "Varies"
"Shen Lung (Spirit Dragon)", "OA", "159", "Dragon (Spirit, Water)", "Varies"
"Shrieking Terror", "MM3", "154", "Aberration (Extraplanar)", "Varies"
"Skarn", "MoI", "191", "Humanoid, Medium (Retillian)", "Varies"
"Skeleton", "MM", "225", "Undead", "Varies"
"Slaad", "MM", "228", "Outsider (Chaotic, Extraplanar)", "Varies"
"Snake", "MM", "279", "Animal", "Varies"
"Snake, Sea", "Sto", "170", "Animal", "Varies"
"Snake, Viper", "MM", "281", "Animal", "Varies"
"Soulspark", "MoI", "197", "Outsider, Tiny (Alignment", Incarnum, Native)", "Varies"
"Spellwurm", "MoE", "156", "Aberration, Tiny (Symbiont)", "Varies"
"Sphinx", "MM", "232", "Magical Beast, Large", "Varies"
"Spider, Hairy", "FP", "183", "Vermin, Fine", "Varies"
"Spider, Monstrous", "MM", "288", "Vermin", "Varies"
"Spider, Monstrous Diving", "Sto", "169", "Vermin", "Varies"
"Spider, Snow", "Fr", "154", "Vermin", "Varies"
"Spirit Animal", "Fr", "155", "Fey (Augmented Animal, Incorporeal)", "Varies"
"Sprite", "MM", "235", "Fey", "Varies"
"Squamous Spewer", "Dr", "193", "Aberration, Large", "Varies"
"Stormstalk", "MoE", "157", "Aberration, Tiny (Symbiont)", "Varies"
"Swarm", "FF", "166", "Base", "Varies"
"Swarm", "MM", "237", "(Swarm)", "Varies"
"Swarm", "Sto", "161", "(Swarm)", "Varies"
"Swarm, Divine Wrath", "BE", "188", "(Swarm)", "Varies"
"Symbiont, Living Breastplate", "ECS", "298", "Aberration, Tiny (Symbiont)", "Varies"
"Symbiont, Tentacle Whip", "ECS", "300", "Aberration, Tiny (Symbiont)", "Varies"
"Symbiont, Tongueworm", "ECS", "300", "Aberration, Tiny (Symbiont)", "Varies"
"Throwing Scarab", "MoE", "157", "Aberration, Fine (Symbiont)", "Varies"
"T'ien Lung (Celestial Dragon)", "OA", "161", "Dragon (Air, Spirit)", "Varies"
"Tojanida", "MM", "243", "Outsider (Extraplanar, Water)", "Varies"
"Topiary Guardian", "MM3", "173", "Plant", "Varies"
"Topiary Guardian, Alternative", "MM3", "175", "Plant", "Varies"
"Tun Mi Lung (Typhoon Dragon)", "OA", "162", "Dragon (Spirit, Water)", "Varies"
"Uldra", "Fr", "158", "Fey, Small", "Varies"
"Vampire", "MM", "250", "Undead (Augmented Humanoid)", "Varies"
"Varrangoin", "FF", "181", "Magical Beast (Extraplanar)", "Varies"
"Warbeast", "MM2", "219", "Base", "Varies"
"Wastrilith", "FF", "54", "Outsider, Huge (Aquatic, Chaotic, Evil, Extraplanar)", "Varies"
"Werecrocodile", "Sa", "167", "Humanoid, Medium (Human, Shapechanger)", "Varies"
"Whale", "MM", "282", "Animal", "Varies"
"Winter Cyst", "MoE", "158", "Aberration, Tiny (Symbiont)", "Varies"
"Woodling", "MM3", "197", "Base", "Varies"
"Xorn", "MM", "260", "Outsider (Extraplanar, Earth)", "Varies"
"Yu Lung (Carp Dragon)", "OA", "154", "Dragon (Spirit, Water)", "Varies"
"Yuan-ti", "MM", "262", "Monstrous Humanoid", "Varies"
"Yuan-ti, Psionic", "XPH", "217", "Monstrous Humanoid (Psionic)", "Varies"
"Yugoloth", "FF", "196", "Outsider (Evil, Extraplanar)", "Varies"
"Yugoloth", "MM2", "202", "Outsider (Evil, Extraplanar)", "Varies"
"Zombie", "MM", "265", "Undead", "Varies"
"Zombie, Necrocarnum", "MoI", "186", "Undead (Evil, Incarnum)", "Varies"
"Mercury Dragon", "DrF", "138", "Dragon (Fire)", "Varies"
"Steel Dragon", "DrF", "140", "Dragon (Air)", "Varies"
"Mist Dragon", "DrF", "142", "Dragon (Aquatic, Water)", "Varies"
"Dragon, Deep", "DrU", "114", "Dragon (Earth)", "Varies"
"Elf, Albino Drow (Szarkai)", "DrU", "118", "Humanoid, Medium (Elf)", "Varies"
"Goblinoid, Bugbear", "DrU", "120", "Humanoid, Medium", "Varies"
"Goblinoid, Vril", "DrU", "123", "Humanoid, Small", "Varies"
"Kuo-Toa", "DrU", "129", "Monstrous Humanoid, Medium (Aquatic)", "Varies"
"Lizard, Giant", "DrU", "133", "Varies", "Varies"
"Spider, Monstrous", "DrU", "141", "Varies", "Varies"
"Troll", "DrU", "145", "Varies", "Varies"
