"Equine, Semphari",CV,156,Animal,1,Large
"Equine, Shaaran Zebra",CV,156,Animal,1,Large
"Equine, Shad'iar",CV,156,Animal,1,Large
"Equine, Sosser",CV,156,Animal,1,Large
"Equine, Steppe",CV,157,Animal,1,Large
Ether Scarab,MM2,94,Outsider,1,Tiny
"Felldrake, Crested",MM2,98,Dragon,1,Small
Firenewt,Mon,48,"Monstrous Humanoid (Fire, Reptilian)",1,Medium
"Flame Snake, Minor",FF,73,Magical Beast (Fire),1,Small
Ghoul,MM,118,Undead,1,Medium
Githyanki,MM,127,Humanoid (Extraplanar),1,Medium
Githyanki,MP,174,Outsider (Evil),1,Medium
"Githyanki, Psionic",XPH,198,"Humanoid (Extraplanar, Psionic)",1,Medium
Githzerai,MM,129,Humanoid (Extraplanar),1,Medium
Githzerai,MP,176,Outsider,1,Medium
"Githzerai, Psionic",XPH,199,"Humanoid (Extraplanar, Psionic)",1,Medium
Gnoll,MM,130,Humanoid (Gnoll),1,Medium
"Goblin, Dekanter",Mon,53,Monstrous Humanoid (Goblinoid),1,Medium
Grig,MM,235,Fey,1,Tiny
Grimlock,MM,140,Monstrous Humanoid,1,Medium
Half-Giant,XPH,200,Giant (Psionic),1,Medium
Homunculus,MM,154,Construct,1,Tiny
"Homunculus, Iron Defender",ECS,287,Construct,1,Small
"Homunculus, Packmate",MoE,152,Construct,1,Small
"Horse, Heavy",MM,273,Animal,1,Large
"Horse, Light",MM,273,Animal,1,Large
"Horse, Valenar Riding",ECS,289,Animal,1,Large
"Hound, Mastiff",Rac,174,Animal,1,Medium
Hybsil,Mon,61,Fey,1,Small
Hyena,MM,274,Animal,1,Medium
"Ice Paraelemental, Small",MP,181,"Elemental (Air, Cold)",1,Small
"Ixitxachitl, Average",MM2,128,Aberration (Aquatic),1,Small
Jackal,Sa,194,Animal,1,Small
Jiki-Niku-Gaki,OA,164,Undead (Spirit),1,Medium
Kaorti,FF,108,"Outsider (Evil, Extraplanar)",1,Medium
Karsite,TM,84,Humanoid (Human),1,Medium
Kenku Sneak,MM3,87,Humanoid (Kenku),1,Medium
Krenshar,MM,163,Magical Beast,1,Medium
"Kython, Broodling",BV,179,Aberration,1,Small
Lemure (Devil),MM,57,"Outsider (Evil, Extraplanar, Lawful)",1,Medium
"Lion, Sea",Sto,167,Animal,1,Large
Lizardfolk,MM,169,Humanoid (Repitilian),1,Medium
"Lizardfolk, Poison Dusk",MM3,96,Humanoid (Reptilian),1,Small
"Magma Paraelemental, Small",MP,183,"Elemental (Earth, Fire)",1,Small
Mane (Tanar'ri),BV,169,"Outsider (Chaotic, Evil, Tanar'ri)",1,Small
Manta Ray,MM,275,Animal (Aquatic),1,Large
Mindshredder Larva,MM3,102,Aberration,1,Small
Mlarraun,SK,70,Magical Beast,1,Medium
Mule,MM,276,Animal,1,Large
"Myconid, Average Worker",MM2,155,Plant,1,Small
"Naga, Chameleon",OA,173,"Humanoid (Aquatic, Reptilian)",1,Large
"Nat, Einsaung",OA,176,Fey (Spirit),1,Small
"Nature Spirit, Small",OA,177,Fey (Spirit),1,Small
"Nerra, Varoot",FF,130,Outsider (Extraplanar),1,Medium
Night Hunter,Mon,18,Beast,1,Medium
Nixie,MM,235,Fey (Aquatic),1,Small
Octopus,MM,276,Animal (Aquatic),1,Small
"Ooze Paraelemental, Small",MP,183,"Elemental (Earth, Water)",1,Small
Osquip,Rac,176,Magical Beast,1,Small
"Persistent Harrier, Homunculus",MoE,153,Construct,1,Small
Petal,MM3,120,Fey,1,Tiny
"Planetouched, Chaon",MM2,170,Outsider,1,Medium
"Planetouched, Shyft",FF,138,Outsider,1,Medium
"Planetouched, Zenythri",MM2,170,Outsider,1,Medium
Porcupine Cactus,Sa,179,Plant,1,Small
Pseudodragon,MM,210,Dragon,1,Tiny
Puppeteer,XPH,209,Magical Beast (Psionic),1,Fine
"Raggamoffyn, Tatterdemanimal",MM2,175,Construct,1,Small
Raiment,LM,117,Undead,1,Small
Rusalka,Fr,150,Fey (Aquatic),1,Medium
Selkie,FF,145,"Humanoid (Aquatic, Shapechanger)",1,Medium
Serval (Savannah Wildcat),Sa,194,Animal,1,Small
Shadar-Kai,FF,150,Fey (Extraplanar),1,Medium
Shadow Asp,FF,152,Magical Beast,1,Tiny
"Shark, Medium",MM,279,Animal (Aquatic),1,Medium
Shrieker,MM,113,Plant,1,Medium
Siv,Mon,78,Humanoid (Aquatic),1,Medium
"Skeleton, Wolf",MM,226,Undead,1,Medium
"Smoke Paraelemental, Small",MP,184,"Elemental (Air, Fire)",1,Small
"Snake, Two-headed Adder",FRCS,309,Animal,1,Small
Snapping Turtle,Sto,168,Animal ,1,Small
"Spider, Giant Whip",LE,161,Vermin,1,Medium
Squid,MM,281,Animal (Aquatic),1,Medium
"Strider, Giant",Mon,51,Magical Beast (Fire),1,Large
"Swarm, Leech",Sto,162,"Vermin (Aquatic, Swarm)",1,
"Swarm, Spider",MM,239,Vermin (Swarm),1,Diminutive
Taer,Una,72,Giant (Cold),1,Medium
"Tengu, Crow-Headed",OA,194,Monstrous Humanoid,1,Medium
"Termite, Queen",Sa,198,Vermin,1,Large
Thri-Kreen,MM2,195,Monstrous Humanoid,1,Medium
Thri-Kreen,ShS,72,Monstrous Humanoid,1,Medium
Thri-Kreen,SS,222,Monstrous Humanoid (Medium),1,
Thri-Kreen,XPH,213,Monstrous Humanoid (Psionic),1,Medium
"Toad, Giant",OA,196,Beast,1,Medium
Troglodyte,MM,246,Humanoid (Repitilian),1,Medium
Ur'epona,PlH,130,Magical Beast (Extraplanar),1,Large
"Viper, Celestial",Mag,131,Outsider,1,Medium
"Viper, Fiendish",Mag,131,Outsider,1,Medium
Volodni,Una,80,Plant,1,Medium
"Warhorse, Light",MM,274,Animal,1,Large
Watchspider,CSW,140,Magical Beast,1,Medium
Wolf,MM,283,Animal,1,Medium
"Wraith Spider, Medium",CSQ,124,Undead,1,Medium
Yurian,FF,198,Monstrous Humanoid (Aquatic),1,Medium
"Zombie, Troglodyte",MM,266,Undead,1,Medium
Aarakocra,Mon,11,Monstrous Humanoid,1/2,Medium
"Animated Object, Tiny",MM,13,Construct,1/2,Tiny
"Arbalester, Homunculus",MoE,152,Construct,1/2,Tiny
Asherati,Sa,139,Humanoid,1/2,Medium
Aventi,Sto,138,"Humanoid (Human, Aquatic)",1/2,Medium
Baboon,MM,268,Animal,1/2,Medium
Badger,MM,268,Animal,1/2,Small
Bakemono,OA,146,"Humanoid (Goblinoid, Shadowlands)",1/2,Small
Bariaur,MP,161,Outsider,1/2,Medium
Barracuda,Sto,166,Animal (Aquatic),1/2,Medium
"Beholderkin, Eyeball",Mon,23,Aberration,1/2,Tiny
Bhuka,Sa,141,Humanoid,1/2,Medium
Blood Hawk,FF,22,Magical Beast,1/2,Small
Brain Mole,XPH,190,Magical Beast (Psionic),1/2,Tiny
Carcass Eater,LM,91,Animal,1/2,Small
Catfolk,MH,56,Humanoid (Catfolk),1/2,Medium
Cavvekan,Rac,175,Magical Beast,1/2,Small
"Centipede, Least Spirit",OA,150,Outsider (Spirit),1/2,Diminutive
Chordevoc,RW,188,Animal,1/2,Tiny
Corollax,MM2,50,Magical Beast,1/2,Tiny
Darfellan,Sto,143,Humanoid (Darfellan),1/2,Medium
"Dinosaur, Fastieth",ECS,280,Animal,1/2,Medium
Dromite,XPH,194,Monstrous Humanoid (Psionic),1/2,Small
Eagle,MM,272,Animal,1/2,Small
Eel,Sto,166,Animal (Aquatic),1/2,Medium
Elan,XPH,196,Aberration (Psionic),1/2,Medium
"Elf, Aquatic",Sto,148,"Humanoid (Elf, Aquatic)",1/2,Medium
"Equine, Hammer Pony",CV,155,Animal,1/2,Medium
"Equine, Whiteshield",CV,157,Animal,1/2,Medium
Faun,DD,133,Fey,1/2,Medium
Feytouched,FF,71,Fey,1/2,Medium
"Firefly, Giant",AE,91,Vermin,1/2,Large
Formian Worker,MM,109,"Outsider (Lawful, Extraplanar)",1/2,Small
"Goblin, Snow",Fr,136,Humanoid (Goblinoid),1/2,Small
Hadozee,Sto,151,Humanoid (Hadozee),1/2,Medium
"Halfling, Deep",MM,150,Humanoid (Halfling),1/2,Small
Hengeyokai,OA,168,Shapechanger,1/2,Medium
Hoard Scarab,Dr,167,Vermin,1/2,Fine
Hobgoblin,MM,153,Humanoid (Goblinoid),1/2,Medium
"Homunculus, Dedicated Wright",ECS,285,Construct,1/2,Tiny
"Homunculus, Furtive Flicher",ECS,286,Construct,1/2,Tiny
Jermlaine,MM2,131,Fey,1/2,Tiny
Kenku,MM3,86,Humanoid (Kenku),1/2,Medium
Korobokuru,OA,171,Humanoid (Dwarf),1/2,Small
Locathah,MM,169,Humanoid (Aquatic),1/2,Medium
Lynx,Rac,174,Animal,1/2,Small
Maenad,XPH,203,"Humanoid (Maenad, Psionic)",1/2,Medium
"Maggot, Giant",Und,88,Vermin,1/2,Small
Merfolk,MM,185,Humanoid (Aquatic),1/2,Medium
Minotaur of Krynn,DCS,226,Humanoid (Minotaur),1/2,Medium
"Myconid, Junior Worker",MM2,155,Plant,1/2,Tiny
"Naga, Greensnake",OA,173,Humanoid (Reptilian),1/2,Medium
Neanderthal,Fr,145,Humanoid (Human),1/2,Medium
Nezumi,OA,178,Humanoid (Nezumi),1/2,Medium
Orc,MM,203,Humanoid (Orc),1/2,Medium
"Planetouched, Aasimar",MM,209,Outsider (Native),1/2,Medium
"Planetouched, Air Genasi",Mon,71,Outsider,1/2,Medium
"Planetouched, Earth Genasi",Mon,71,Outsider,1/2,Medium
"Planetouched, Fire Genasi",Mon,71,Outsider,1/2,Medium
"Planetouched, Maeluth",FF,136,Outsider,1/2,Medium
"Planetouched, Mechanatrix",FF,137,Outsider,1/2,Medium
"Planetouched, Tiefling",MM,209,Outsider (Native),1/2,Medium
"Planetouched, Water Genasi",Mon,71,Outsider,1/2,Medium
"Planetouched, Wispling",FF,139,Outsider,1/2,Small
"Pony, War",MM,277,Animal,1/2,Medium
Porpoise,MM,278,Animal (Aquatic),1/2,Medium
Shalarin,Mon,76,Humanoid (Aquatic),1/2,Medium
Shifter,MM3,150,Humanoid (Shapechanger),1/2,Medium
"Snake, Flying",Rac,177,Magical Beast,1/2,Small
"Snake, Reed",SK,84,Animal,1/2,Tiny
"Spider, Hairy",Mon,79,Vermin,1/2,Fine
Spirit Folk,OA,192,Humanoid (Spirit),1/2,Medium
Spirit Folk,Una,71,Humanoid (Spirit),1/2,Medium
Stirge,MM,236,Magical Beast,1/2,Tiny
Tarmak,DCS,232,Humanoid (Human),1/2,Medium
Tasloi,OA,193,Humanoid (Tasloi),1/2,Small
Warforged,MM3,190,Construct (Living Construct),1/2,Medium
Warforged Scout,MM3,193,Construct (Living Construct),1/2,Small
"Wraith Spider, Small",CSQ,124,Undead,1/2,Small
Xeph,XPH,217,"Humanoid (Psionic, Xeph)",1/2,Medium
Yellow Musk Zombie Orc,FF,191,Plant,1/2,Medium
"Zombie, Human Commoner",MM,266,Undead,1/2,Medium
"Zombie, Kobold",MM,266,Undead,1/2,Small
Clockwork Mender,MM4,30,"Construct (Extraplanar, Lawful)",1/2,Tiny
Skiurid,MM4,126,Magical Beast,1/2,Tiny
Kalabon,FCII,120,"Outsider (Evil, Extraplanar, Lawful)",1/2,Small
Tirbana Eyewing,MM5,172,Magical Beast,1/2,Tiny
"Beetle, Giant Fire",MM,285,Vermin,1/3,Small
Caribou,Fr,164,Animal,1/3,Medium
Crawling Claw,Mon,29,Construct,1/3,Diminutive
Dog,MM,271,Animal,1/3,Small
"Equine, Uglib",CV,157,Animal,1/3,Medium
Gibberling,Mon,52,Humanoid (Gibberling),1/3,Small
Goblin,MM,133,Humanoid (Goblinoid),1/3,Small
Hawk,MM,273,Animal,1/3,Tiny
"Homunculus, Expeditious Messenger",ECS,285,Construct,1/3,Diminutive
"Leech, Giant",Sto,154,Vermin (Aquatic),1/3,Small
"Lizard, Spitting Crawler",FRCS,308,Animal,1/3,Tiny
Mongrelfolk,FF,125,Humanoid (Mongrelfolk),1/3,Medium
"Otter, Sea",Fr,165,Animal,1/3,Medium
"Rat, Dire",MM,64,Animal,1/3,Small
Seal,Fr,166,Animal,1/3,Medium
Seal,Sto,167,Animal,1/3,Medium
"Skeleton, Human Warrior",MM,226,Undead,1/3,Medium
Stingray,Sto,168,Animal (Aquatic),1/3,Small
Tasloi,ShS,71,Humanoid,1/3,Small
"Termite, Worker",Sa,197,Vermin,1/3,Small
Twig Blight,MM2,197,Plant,1/3,Small
Twig Blight,SC,32,Plant,1/3,Small
Vulture,Sa,195,Animal,1/3,Small
Huitzil,DM,114,Animal (Dragonblood),1/3,Tiny
Albatross,Sto,165,Animal ,1/4,Small
Cat,MM,270,Animal,1/4,Tiny
Elysian Thrush,PlH,118,"Magical Beast (Extraplanar, Good)",1/4,Tiny
"Equine, Dales Pony",CV,154,Animal,1/4,Medium
"Equine, Island Pony",CV,155,Animal,1/4,Medium
"Fox, Arctic",Fr,165,Animal,1/4,Small
Ibis,Rac,174,Animal,1/4,Tiny
Jumping Caltrop,CAd,133,Construct,1/4,Tiny
Kobold,MM,161,Humanoid (Reptilian),1/4,Small
"Lizard, Horned",Sa,194,Animal,1/4,Tiny
Moonrat,MM2,151,Magical Beast,1/4,Tiny
Muckdweller,SK,71,Monstrous Humanoid,1/4,Tiny
"Neogi, Spawn",MM2,159,Aberration,1/4,Tiny
Otter,Sto,167,Animal,1/4,Tiny
Owl,MM,277,Animal,1/4,Tiny
Pony,MM,277,Animal,1/4,Medium
Tressym,FRCS,309,Animal,1/4,Tiny
Tressym,LE,191,Magical Beast,1/4,Tiny
Weasel,MM,282,Animal,1/4,Tiny
Deer,SM,119,Animal,1/6,Medium
Donkey,MM,272,Animal,1/6,Medium
Lizard,MM,274,Animal,1/6,Tiny
Monkey,MM,276,Animal,1/6,Tiny
Penguin,Fr,166,Animal,1/6,Tiny
Raven,MM,278,Animal,1/6,Tiny
Rat,MM,278,Animal,1/8,Tiny
Sibyllic Guardian,CP,135,"Outsider (Archon, Extraplanar, Good, Lawful, Psionic)",10,Medium
Chasme,FCI,34,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Large
Balhannoth,MM4,15,Aberration,10,Large
Craa'ghoran Giant,MM4,60,Giant (Earth),10,Huge
Githyanki Captain,MM4,63,Humanoid (Extraplanar),10,Medium
Justice Archon Champion,MM4,81,"Outsider (Archon, Extraplanar, Good, Lawful)",10,Medium
Blackspawn Exterminator,MM4,131,Monstrous Humanoid (Dragonblood),10,Medium
Bluespawn Godslayer,MM4,140,Monstrous Humanoid (Dragonblood),10,Huge
Pureblood Slayer,MM4,184,Monstrous Humanoid,10,Medium
Corruptor of Fate Assassin,MM4,190,"Outsider (Evil, Extraplanar, Yugoloth)",10,Medium
Aspect of Yeenoghu,EDP,188,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Large
Widowmaker,DrU,142,Vermin,10,Large
Adaru,MM5,20,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Medium
Draudnu,MM5,24,"Outsider (Chaotic, Evil, Extraplanar, Obyrith)",10,Medium
Ken-Li,MM5,48,Giant (Fire),10,Large
Forest Haunt,MM5,80,Undead (Incorporeal),10,Huge
Thoon Disciple,MM5,104,Aberration,10,Medium
Madcrafter of Thoon,MM5,114,Aberration,10,Huge
Ruin Elemental,MM5,134,Elemental (Earth),10,Large
Greater Spawn of Juiblex,MM5,162,"Elemental (Extraplanar, Water)",10,Huge
Thrym Hound,MM5,170,Magical Beast,10,Huge
Cataboligne Demon,ERG,217,"Outsider (Chaotic, Evil, Extraplanar, Shapechanger)",10,Large
"Animated Object, Colossal",MM,14,Construct,10,Colossal
Aspect of Bahamut,MH,48,Dragon (Extraplanar),10,Large
Aspect of Tiamat,MH,54,Dragon (Extraplanar),10,Large
Aspect of Vecna,MH,54,Undead,10,Medium
Avolakia,MM2,28,Aberration,10,Large
Bebilith (Demon),MM,42,"Outsider (Chaotic, Extraplanar, Evil)",10,Huge
"Beetle, Knell",MM3,88,Vermin,10,Large
"Boar, Razor",MM2,220,Beast,10,Large
Bronze Serpent,MM2,40,Construct,10,Huge
Cerebrilith,XPH,192,"Outsider (Chaotic, Evil, Extraplanar, Psionic, Tanar'ri)",10,Large
Chasme (Tanar'ri),BV,174,"Outsider (Chaotic, Evil, Tanar'ri)",10,Large
Couatl,MM,37,Outsider (Native),10,Large
"Couatl, Psionic",XPH,193,"Outsider (Native, Psionic)",10,Large
Darkweaver,FF,39,Aberration (Extraplanar),10,Medium
Deepspawn,LE,166,Aberration,10,Huge
"Dinosaur, Mosasaur",Sto,146,Animal,10,Huge
"Dinosaur, Plesiosaur",Sto,146,Animal,10,Gargantuan
"Drake, Fire",Dr,154,Dragon (Fire),10,Large
Dunewinder,Sa,159,Magical Beast,10,Huge
"Eladrin, Firre",BE,169,"Outsider (Chaotic, Eladrin, Extraplanar, Good)",10,Medium
"Elephant, Dire",MM2,75,Animal,10,Gargantuan
Entombed,Fr,128,Undead (Cold),10,Large
Fireshadow,DCS,225,"Undead (Chaos, Evil, Extraplanar)",10,Huge
"Firre, Celestial (Eladrin)",MP,162,"Outsider (Chaotic, Good)",10,Medium
Formian Myrmarch,MM,110,"Outsider (Lawful, Extraplanar)",10,Large
Gaspar,PlH,124,Magical Beast (Extraplanar),10,Huge
Gathra,FF,80,Magical Beast (Extraplanar),10,Large
"Ghoul, Abyssal",CSQ,115,Undead,10,Medium
"Ghoul, Abyssal",FF,12,Undead (Extraplanar),10,Medium
"Giant, Fire",MM,121,Giant (Fire),10,Large
"Giant, Frost Spiritspeaker",Fr,134,Giant (Cold),10,Large
"Giant, Frost Tundra Scout",Fr,135,Giant (Cold),10,Large
"Giant, Sand",MM3,58,Giant,10,Large
"Giant, Totem",MoI,178,Giant (Incarnum),10,Large
"Golem, Brain",FF,85,Construct,10,Large
"Golem, Brass",MM2,116,Construct,10,Large
"Golem, Clay",MM,134,Construct,10,Large
"Golem, Incarnum",MoI,179,Construct (Incarnum),10,Large
Greenvise,MM2,120,Plant,10,Huge
"Guardinal, Ursinal",BE,174,"Outsider (Extraplanar, Good, Guardinal)",10,Large
"Hag, Shrieking",Una,64,Monstrous Humanoid,10,Medium
Half-Farspawn,LoM,151,Outsider (Native),10,Large
Helmed Horror,Mon,60,Construct,10,Medium
Kelpie,FF,114,Fey (Aquatic),10,Large
"Landwyrm, Forest",Dr,170,Dragon,10,Large
Leechwalker,MM2,135,Vermin,10,Medium
Legendary Shark,MW,40,Animal,10,Huge
Legendary Tiger,MW,40,Animal,10,Large
"Leskylor, Three-Headed",BE,177,Magical Beast,10,Large
Maelephant,FF,120,"Outsider (Evil, Extraplanar, Lawful)",10,Large
Malasynep Mindmage,Fr,144,"Aberration (Aquatic, Cold)",10,Huge
Mooncalf,HN,32,Magical Beast,10,Large
Mooncalf,MM2,150,Magical Beast,10,Large
Mur-Zhagul (Demon Troll),Una,78,"Outsider (Evil, Native)",10,Large
"Naga, Guardian",MM,192,Aberration,10,Large
"Oni, Kamu no",OA,182,"Outsider (Evil, Shadowlands)",10,Large
"Oni, Me-Zu",OA,180,Giant (Spirit),10,Large
"Oni, Shikibu no",OA,183,"Outsider (Evil, Shadowlands)",10,Small
"Ooze, Ethereal",FF,63,"Ooze (Extraplanar, Incorporeal)",10,Huge
Plague Spewer,MM3,125,Undead,10,Huge
Quaraphon Bully,MM3,129,Aberration,10,Large
Rakshasa,MM,211,Outsider (Native),10,Medium
Runic Guardian,MM2,182,Construct,10,Large
"Salamander, Noble",MM,219,"Outsider (Extraplanar, Fire)",10,Large
"Seryulin, Greater",MM3,149,Aberration (Aquatic),10,Huge
Shaboath,LoM,166,Construct (Cold),10,Large
"Shark, Legendary",MM2,138,Animal (Aquatic),10,Huge
Shedu,FF,153,Magical Beast,10,Large
"Slaad, Gray",MM,231,"Outsider (Chaotic, Extraplanar)",10,Medium
Spell Weaver,MM2,187,Monstrous Humanoid,10,Medium
Spirit Tree,Gh,170,Plant,10,Huge
Sporebat,FF,161,Plant,10,Medium
Ssvaklor,MM3,166,Dragon,10,Medium
"Swarm, Scarab Beetle",FF,171,Vermin (Swarm of Fine Creatures),10,Medium
"Swarm, Sunfly",BE,190,"Outsider (Extraplanar, Good, Swarm)",10,Diminutive
"Terror, Five-Headed",MM3,155,Aberration (Extraplanar),10,Medium
"Tiger, Legendary",MM2,138,Animal,10,Large
"Troll, Mountain",MM3,180,Giant,10,Huge
"Umbral Banyan, Ephemera",MP,170,Plant,10,Huge
"Varrangoin, Rager",FF,184,Magical Beast (Extraplanar),10,Medium
"Yugoloth, Marraenoloth",MM2,203,"Outsider (Evil, Extraplanar)",10,Medium
"Yugoloth, Nycaloth",MM3,202,"Outsider (Evil, Extraplanar, Yugoloth)",10,Large
"Yugoloth, Yyagnoloth",MM2,203,"Outsider (Evil, Extraplanar)",10,Large
Kastighur,MM4,42,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",11,Huge
Yarshag,MM4,85,Humanoid (Reptilian),11,Medium
Lolth-Touched Bebilith,MM4,92,"Outsider (Chaotic, Evil, Extraplanar)",11,Huge
Verdant Prince,MM4,172,Fey,11,Medium
Vitreous Drinker,MM4,174,Undead,11,Medium
Redspawn Birther,DrF,108,"Magical Beast (Dragonblood, Fire)",11,Large
Assassin Devil (Dogai),FCII,114,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",11,Medium
Pleasure Devil (Brachina),FCII,134,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",11,Medium
Du'ulora Quori,SoS,153,"Outsider (Evil, Extraplanar, Lawful, Psionic, Quori)",11,Large
Aspect of Graz'zt,EDP,184,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",11,Large
"Giant, Abyssal",EDP,204,"Giant (Evil, Extraplanar)",11,Huge
Lamia Noble,EDP,206,Monstrous Humanoid (Extraplanar),11,Large
"Archon, Owl",BE,159,"Outsider (Archon, Extraplanar, Good, Lawful)",11,Large
"Archon, Sword",BE,160,"Outsider (Archon, Extraplanar, Good, Lawful)",11,Large
Aspect of Hextor,MH,50,"Outsider (Evil, Extraplanar, Lawful)",11,Large
Aspect of Kord,MH,50,"Outsider (Chaotic, Extraplanar, Good)",11,Large
Aspect of Lolth,MH,51,"Outsider (Chaotic, Evil, Extraplanar)",11,Large
Atropal Scion,LM,84,Undead,11,Medium
Barbed Devil (Hamatula),MM,51,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",11,Medium
Beast of Malar,Mon,20,Shapechanger,11,Medium
"Beholderkin, Death Kiss",Mon,22,Aberration,11,Large
"Beholderkin, Gouger",Mon,24,Aberration,11,Large
"Cloaker, Shadowcloak Elder",LoM,142,Aberration (Extraplanar),11,Huge
Crawling Apocalypse,Sa,143,Undead,11,Gargantuan
Crimson Death,MM2,53,Undead (Incorporeal),11,Medium
"Cyclops, Greater",DD,132,Giant,11,Huge
Devourer,MM,58,Undead (Extraplanar),11,Large
Dragon Eel,MM3,44,Dragon (Aquatic),11,Large
"Drake, Earth",Dr,153,Dragon (Earth),11,Large
Dread Wraith,MM,258,Undead (Incorporeal),11,Large
"Elemental, Greater Shadow",TM,166,"Elemental (Extraplanar, Shadow)",11,Huge
Farastu (Demodand),FF,42,"Outsider (Evil, Extraplanar)",11,Medium
Fomorian,MM2,105,Giant,11,Huge
Forest Sloth,MM2,106,Beast,11,Large
"Formian, Observer",FF,76,"Outsider (Extraplanar, Lawful)",11,Medium
"Giant, Cloud",MM,120,Giant (Air),11,Huge
"Giant, Draconic Fire",Dr,149,Giant (Fire),11,Large
"Giant, Forest",MM2,110,Giant,11,Huge
"Giant, Frost Mauler",Fr,134,Giant (Cold),11,Large
"Golem, Alchemical",MM3,66,Construct,11,Large
"Golem, Mud",MM3,70,Construct,11,Large
"Golem, Ruby Gemstone",Mon,53,Construct,11,Large
"Golem, Shadesteel",MM3,72,Construct (Extraplanar),11,Large
"Golem, Stone",MM,137,Construct,11,Large
Grimweird,MM3,75,Undead,11,Medium
Harpy Archer,MM,151,Monstrous Humanoid,11,Medium
Hezrou (Demon),MM,44,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",11,Large
"Ice Paraelemental, Elder",MP,181,"Elemental (Air, Cold)",11,Huge
Juggernaut,MM2,132,Construct,11,Huge
"Kython, Slaymaster",BV,180,Aberration,11,Large
"Magma Paraelemental, Elder",MP,183,"Elemental (Earth, Fire)",11,Huge
Maur (Hunched Giant),Und,95,Giant (Earth),11,Large
Megalodon,MM2,147,Beast (Aquatic),11,Gargantuan
