Name,Book,Type,Subtype,Size,HD,CR,Environment,Misc
Otyugh;  Lifelech,['(MM3 p11) - (MM3Errata)'],Aberration,-,Large ,9,8,Underground,-
Rust Monster;  Advanced,['(DR346 p078)'],Aberration,-,Large ,15,8,Underground,Advanced
Shadow Flayer,['(MM5 p107)'],Aberration,-,Medium ,8,8,Underground; Plane of Xoriat,Thoon; Variant; Lvl +7
Athach;  Anarchic,['(MotP p19) - (3.5up p26)'],Aberration,-,Huge ,14,9,Any,Template - Anarchic
Chwidencha,['(FF p034)'],Aberration,-,Large ,12,9,Underground,-
Delver,['(MM p039)'],Aberration,-,Huge ,15,9,Underground,-
Dharculus,['(Planar p112)'],Aberration,Extraplanar,Medium ,8,9,Plane of Ethereal,-
Ethergaunt;  Red,['(FF p066)'],Aberration,Ethergaunt;Extraplanar,Medium ,5,9,Plane of Ethereal,Lvl +7
Harpoon Spider;  Dread,['(MM3 p08) - (MM3Errata)'],Aberration,-,Huge ,9,9,Underground,Advanced
Lodestone Marauder,['(MM4 p090)'],Aberration,-,Large ,11,9,Any Mountains; Underground,-
Naga;  Spirit,['(MM p192)'],Aberration,-,Large ,9,9,Temperate Marshes,-
Psurlon;  Elder,['(MM2 p17) - (3.5up p36)'],Aberration,-,Medium ,12,9,Underground,Lvl +5
Roper;  Prismatic,['(MM3 p141)'],Aberration,-,Large ,9,9,Underground,-
Rukanyr,['(FF p144)'],Aberration,-,Large ,7,9,Any,-
Slake Moth,['(DR352 p058)'],Aberration,-,Large ,13,9,Any (cities),Bas-Lag
Avolakia,['(MM2 p02) - (3.5up p30)'],Aberration,-,Large ,10,10,Underground,Lvl +5
Balhannoth,['(MM4 p015)'],Aberration,-,Large ,14,10,Underground,-
Darkweaver,['(FF p03) - (3.5up p24)'],Aberration,Extraplanar,Medium ,9,10,Plane of Shadow,-
Madcrafter of Thoon,['(MM5 p114)'],Aberration,-,Huge ,10,10,Underground,Thoon
Malasynep Mindmage;  Sorerer 6th,['(Frost p143)'],Aberration,Aquatic;Cold,Huge ,14,10,Cold Aquatic,Leveled Up
Naga;  Guardian,['(MM p192)'],Aberration,-,Large ,11,10,Temperate Plains,-
Nerve Swimmers,['(DR337 p031)'],Aberration,Swarm,Fine ,12,10,Any,-
Quarapohon Bully;  Barbarian 5th,['(MM3 p12) - (Eb p96)'],Aberration,-,Large ,14,10,Temperate Plains; Plane of Kythri,Leveled Up; Lvl +5
0 Seryulin;  Greater,['(MM3 p14) - (MM3Errata)'],Aberration,Aquatic,Huge ,21,10,Any Aquatic,Cohort +4; Advanced
Shrieking Terror;  5 Headed,['(MM3 p15) - (Eb p99)'],Aberration,Extraplanar,Medium ,15,10,Plane of Carceri; Plane of Xoriat,-
Gaj,['(DU111 p092)'],Aberration,Psionic,Large ,11,11,Warm Deserts,Dark Sun
Naga;  Worm,['(DU130 p088)'],Aberration,-,Large ,11,11,Warm Forest; Warm Marshes,-
Phiuhl,['(FF p13) - (3.5up p24)'],Aberration,Extraplanar,Large ,9,11,Plane of Gehenna,-
Julajimus,['(MM2 p13) - (3.5up p34)'],Aberration,-,Huge ,16,12,Temperate Forests,-
"Mind Flayer;  Cleric 4th (aka ""Thoon Disciple"")",['(MM5 p104)'],Aberration,-,Medium ,10,12,Underground; Plane of Xoriat,Thoon; Leveled Up; Lvl +7
Necrothane,['(MM3 p143)'],Aberration,-,Medium ,20,12,Any,-
Ocularon,['(FF p13) - (3.5up p24)'],Aberration,-,Large ,12,12,Temperate Hills; Warm Hills; Temperate Marsh; Warm Marsh; Underground,-
Skybleeder,['(FF p155)'],Aberration,-,Huge ,12,12,Any Mountains; Any Hills,-
Beholder,['(MM p026)'],Aberration,-,Large ,11,13,Cold Hills,-
Ethergaunt;  White,['(FF p067)'],Aberration,Ethergaunt;Extraplanar,Medium ,11,13,Plane of Ethereal,Lvl +5
Froghemoth,['(DU128 p061)'],Aberration,Aquatic,Huge ,20,13,Temperate Swamp,-
Shrieking Terror;  10 Headed,['(MM3 p15) - (Eb p99)'],Aberration,Extraplanar,Large ,20,13,Plane of Carceri; Plane of Xoriat,-
Odopi,['(MM3 p11) - (Eb p99)'],Aberration,Evil;Chaos;Extraplanar,Huge ,20,14,Plane of Carceri; Plane of Xoriat,-
Umber Hulk;  Truly Horrid,['(MM p249)'],Aberration,-,Huge ,20,14,Underground,Advanced
Annihilator,['(Und p078)'],Aberration,-,Medium ,20,15,Underground,-
Fihyr;  Great,['(MM2 p10) - (3.5up p33)'],Aberration,-,Medium ,16,15,Any,-
Psurlon;  Giant,['(MM2 p17) - (3.5up p36)'],Aberration,-,Large ,18,15,Underground,-
Thessalhydra,['(DU134 p087)'],Aberration,-,Huge ,18,15,Adventure (kyuss) ,-
Thoon Elder Brain,['(MM5 p121)'],Aberration,-,Large ,12,15,Underground,Thoon
Tunnel Terror,['(FF p179)'],Aberration,-,Huge ,18,15,Underground,-
Windghost,['(MM2 p19) - (3.5up p37)'],Aberration,-,Huge ,18,15,Any Temperate; Any Warm,-
Abyssal Ant Swarm,['(FF p16) - (3.5up p2)+ - (DR329 p59)'],Aberration,Swarm;Extraplanar,Diminutive ,20,16,Plane of Abyss,-
"Beholder;  Half-Illithid (aka ""Mindwitness"")",['(Und p089)'],Aberration,-,Large ,11,16,Underground,Template - Half-Illithid
Ethereal Defiler,['(MM5 p054)'],Aberration,Extraplanar,Large ,22,16,Plane of Ethereal,-
Elite Fiendish Eye of the Deep;  Advanced,['(DU146 p065)'],Aberration,Aquatic;Extraplanar,Huge ,24,16,Aquatic,Template - Fiendish; Advanced
Moonbeast,['(MM2 p14) - (3.5up p35)'],Aberration,-,Huge ,18,16,Any,-
Aboleth Mage;  Wizard 10th,['(MM p008)'],Aberration,Aquatic,Huge ,18,17,Underground,Level Up
Ethergaunt;  Black,['(FF p065)'],Aberration,Ethergaunt;Extraplanar,Medium ,16,17,Plane of Ethereal,Lvl +4
Maulgoth,['(FF p12) - (3.5up p24)'],Aberration,Earth,Huge ,20,17,Underground,-
Mind Flayer;  Sorcerer 9th,['(MM p18) - (Eb p99)'],Aberration,-,Medium ,17,17,Underground; Plane of Xoriat,Leveled Up; Lvl +7
Mind Worm,['(DR337 p029)'],Aberration,Aquatic,Huge ,25,17,Any Aquatic; Underground,-
Spectral Lurker,['(FF p15) - (3.5up p24)'],Aberration,Incorporeal,Huge ,16,17,Any,-
Xenostelid,['(DR348 p057)'],Aberration,-,Huge ,23,17,Underground,-
Chilblain,['(Frost p114)'],Aberration,Cold,Large ,20,18,Cold Plains,-
Odopi;  Elder,['(MM3 p11) - (MM3Errata) - (Eb p99)+'],Aberration,Evil;Chaos;Extraplanar,Gargantuan ,30,18,Plane of Carceri; Plane of Xoriat,Advanced
Spirrax,['(MM5 p166)'],Aberration,Extraplanar,Gargantuan ,26,18,Plane of Unknown,-
Yuan-Ti Anathema,['(FF p19) - (3.5up p24)'],Aberration,-,Huge ,22,18,Warm Forest; Underground,-
"Carion Crawler;  Advanced (aka ""Mother Worm"")",['(DU133 p071)'],Aberration,-,Colossal,43,20,Underground,Advanced
Bat,['(MM p268)'],Animal,-,Diminutive ,0.25,0.1,Temperate Deserts,-
Toad,['(MM p282)'],Animal,-,Diminutive ,0.25,0.1,Temperate Marshes,-
Rat,['(MM p278)'],Animal,-,Tiny,0.25,0.12,Any,-
Donkey,['(MM p272)'],Animal,-,Medium ,2,0.16,Temperate Deserts,-
Lizard,['(MM p275)'],Animal,-,Tiny,0.5,0.16,Warm Forests,-
Monkey,['(MM p276)'],Animal,-,Tiny,1,0.16,Warm Forests,-
Penguin,['(Frost p165)'],Animal,-,Tiny,0.5,0.16,Cold Aquatic,-
Ramphor,['(DU110 p094)'],Animal,-,Tiny,0.25,0.16,Warm Deserts,Dark Sun
Raven,['(MM p278)'],Animal,-,Tiny,0.25,0.16,Temperate Forests,-
Albatross,['(Storm p165)'],Animal,-,Small ,1,0.25,Warm Aquatic,-
Cat,['(MM p270)'],Animal,-,Tiny,0.5,0.25,Temperate Plains,-
Critic Lizard,['(DU110 p087)'],Animal,Psionic,Tiny,0.5,0.25,Warm Deserts,Dark Sun
Dinosaur;  Rhamphorhynchus,['(DR318 p068)'],Animal,-,Tiny,1,0.25,Warm Forests,-
Fox;  Arctic,['(Frost p165)'],Animal,-,Small ,1,0.25,Cold Plains,-
Horned Lizard,['(Sand p194)'],Animal,-,Tiny,1,0.25,Warm Deserts,-
Otter,['(Storm p167)'],Animal,-,Tiny,0.5,0.25,Temperate Aquatic,-
Owl,['(MM p277)'],Animal,-,Tiny,1,0.25,Temperate Forests,-
Pony,['(MM p277)'],Animal,-,Medium ,2,0.25,Temperate Plains,-
Squirrel;  Flying,['(DR327 p087)'],Animal,-,Tiny,0.5,0.25,Temperate Forests,-
Weasel,['(MM p282)'],Animal,-,Tiny,0.5,0.25,Temperate Hills,-
Caribou,['(Frost p164)'],Animal,-,Medium ,2,0.3,Cold Plains,-
Dire Rat,['(MM p064)'],Animal,-,Small ,1,0.3,Any,-
Dog,['(MM p271)'],Animal,-,Small ,1,0.3,Temperate Plains,-
Hawk,['(MM p273)'],Animal,-,Tiny,1,0.3,Temperate Forests,-
Jankx,['(DU110 p090)'],Animal,-,Tiny,0.5,0.3,Warm Deserts,Dark Sun
Kes’trekel,['(DU110 p091)'],Animal,-,Tiny,1,0.3,Warm Deserts,Dark Sun
Otter;  Sea,['(Frost p165)'],Animal,-,Medium ,2,0.3,Cold Aquatic,-
Sea Snake;  Viper;  Tiny,['(Storm p17) - (MM p280)'],Animal,-,Tiny,0.25,0.3,Warm Aquatic,-
Seal,['(Frost p16) - (Storm p167)'],Animal,-,Medium ,2,0.3,Cold Aquatic,-
Snake;  Viper;  Tiny,['(MM p280)'],Animal,-,Tiny,0.25,0.3,Temperate Marshes,-
Stingray,['(Storm p168)'],Animal,Aquatic,Small ,1,0.3,Warm Aquatic,-
Vulture,['(Sand p195)'],Animal,-,Small ,1,0.3,Warm Deserts,-
Baboon,['(MM p268)'],Animal,-,Medium ,1,0.5,Warm Plains,-
Badger,['(MM p268)'],Animal,-,Small ,1,0.5,Temperate Forests,-
Barracuda,['(Storm p166)'],Animal,Aquatic,Medium ,2,0.5,Warm Aquatic,-
Carcass Eater,['(LM p091)'],Animal,-,Small ,1,0.5,Temperate Forests,-
Chordevoc,['(RotW p188)'],Animal,-,Tiny,1,0.5,Warm Plains,-
Dinosaur;  Compsognathus,['(DR318 p064)'],Animal,-,Tiny,1,0.5,Warm Forests,-
"Dinosaur;  Leaellynasaura (aka ""Fastieth"")",['(Eb p28) - (Eb p280)'],Animal,-,Medium ,2,0.5,Warm Plains,-
Dinosaur;  Troodon,['(DR318 p074)'],Animal,-,Medium ,1,0.5,Warm Forest; Warm Marsh,-
Eagle,['(MM p272)'],Animal,-,Small ,1,0.5,Temperate Mountains,-
Eel,['(Storm p166)'],Animal,Aquatic,Medium ,2,0.5,Warm Aquatic,-
Pony;  War,['(MM p277)'],Animal,-,Medium ,2,0.5,Temperate Plains,-
Porpoise,['(MM p278)'],Animal,-,Medium ,2,0.5,Temperate Aquatic,-
Sea Snake;  Viper;  Small,['(Storm p17) - (MM p280)'],Animal,-,Small ,1,0.5,Warm Aquatic,-
Snake;  Viper;  Small,['(MM p280)'],Animal,-,Small ,1,0.5,Temperate Marshes,-
Yallix,['(DU111 p098)'],Animal,-,Small ,1,0.5,Warm Deserts,Dark Sun
Z’Tal,['(DU110 p098)'],Animal,-,Small ,1,0.5,Warm Deserts,Dark Sun
Baazrag,['(DU110 p084)'],Animal,-,Medium ,2,1,Warm Deserts,Dark Sun
Brixashulty,['(RotW p186)'],Animal,-,Medium ,2,1,Warm Plains,-
Camel,['(MM p270)'],Animal,-,Large ,3,1,Warm Deserts,-
Camel;  DroMediumry,['(Sand p192)'],Animal,-,Large ,3,1,Warm Deserts,-
Camel;  Two-Humped,['(Sand p193)'],Animal,-,Large ,3,1,Warm Deserts,-
Dinosaur;  Swindlespitter,['(MM3 p04) - (MM3Errata)'],Animal,-,Small ,2,1,Warm Forests,-
Dog;  Riding,['(MM p272)'],Animal,-,Medium ,2,1,Temperate Plains,-
Horse;  Heavy,['(MM p273)'],Animal,-,Large ,3,1,Temperate Plains,-
Horse;  Heavy Magebred,['(Eb p295)'],Animal,-,Large ,3,1,Temperate Plains,Template - Magebred
Horse;  Light,['(MM p273)'],Animal,-,Large ,3,1,Temperate Plains,-
Horse;  Valenar Riding,['(Eb p289)'],Animal,-,Large ,3,1,Warm Plains,Variant
Hyena,['(MM p274)'],Animal,-,Medium ,2,1,Warm Deserts,-
Manta Ray,['(MM p275)'],Animal,Aquatic,Medium ,4,1,Warm Aquatic,-
Moose,['(DR327 p087)'],Animal,-,Large ,3,1,Cold Plains; Cold Forests,-
Moray Eel,['(DR328 p084)'],Animal,Aquatic,Medium ,2,1,Warm Aquatic,-
Mule,['(MM p276)'],Animal,-,Large ,3,1,Warm Plains,-
Octopus,['(MM p276)'],Animal,Aquatic,Small ,2,1,Warm Aquatic,-
Rat;  Horrid,['(Eb p288)'],Animal,-,Small ,1,1,Any,Template - Horrid
Sea Lion,['(Storm p167)'],Animal,-,Large ,3,1,Cold Aquatic,-
Sea Snake;  Viper;  Mediumum,['(Storm p17) - (MM p280)'],Animal,-,Medium ,2,1,Warm Aquatic,-
Seahorse;  Giant,['(DR327 p087)'],Animal,Aquatic,Large ,3,1,Warm Aquatic,-
"Serval (aka ""Savannah Wildcat"")",['(Sand p194)'],Animal,-,Small ,1,1,Warm Plains,-
Shark;  Mediumum,['(MM p279)'],Animal,Aquatic,Medium ,3,1,Cold Aquatic,-
Snake;  Viper;  Mediumum,['(MM p280)'],Animal,-,Medium ,2,1,Temperate Marshes,-
Snake;  Viper;  Mediumum;  Magebred,['(SoX p068)'],Animal,-,Medium ,2,1,Temperate Marshes,Template - Magebred
Squid,['(MM p281)'],Animal,Aquatic,Medium ,3,1,Temperate Aquatic,-
Taga’rivvin,['(DR345 p087)'],Animal,-,Large ,3,1,Underground,-
Turtle;  Snapping,['(Storm p168)'],Animal,-,Small ,2,1,Temperate Marshes,-
Warhorse;  Light,['(MM p274)'],Animal,-,Large ,3,1,Temperate Plains,-
Wolf,['(MM p283)'],Animal,-,Medium ,2,1,Temperate Forests,-
Ape,['(MM p268)'],Animal,-,Large ,4,2,Warm Forests,-
Bat Swarm,['(MM p237)'],Animal,Swarm,Diminutive ,3,2,Temperate Deserts,-
Bear;  Black,['(MM p269)'],Animal,-,Medium ,3,2,Temperate Forests,-
Bear;  Black;  Magebred,['(DU147 p022)'],Animal,-,Medium ,3,2,Temperate Forests,Template - Magebred
Bison,['(MM p269)'],Animal,-,Large ,5,2,Temperate Plains,-
Boar,['(MM p270)'],Animal,-,Medium ,3,2,Temperate Forests,-
Camel;  War,['(Sand p193)'],Animal,-,Large ,4,2,Warm Deserts,-
Cheetah,['(MM p271)'],Animal,-,Medium ,3,2,Warm Plains,-
Crocodile,['(MM p271)'],Animal,-,Medium ,3,2,Warm Marshes,-
Dekayi,['(DR345 p086)'],Animal,-,Large ,3,2,Underground,-
Dinosaur;  Dimetrodon,['(DR318 p064)'],Animal,-,Large ,4,2,Warm Marshes,-
Dinosaur;  Fleshraker,['(MM3 p040)'],Animal,-,Medium ,4,2,Temperate Forests,-
Dinosaur;  Pteranodon,['(DR318 p068)'],Animal,-,Medium ,5,2,Warm Mountains,-
"Dinosaur;  Velociraptor (aka ""Clawfoot"")",['(Eb p27) - (Eb p280)'],Animal,-,Medium ,2,2,Warm Forests,-
Dire Badger,['(MM p062)'],Animal,-,Medium ,3,2,Temperate Forests,-
Dire Bat,['(MM p062)'],Animal,-,Large ,4,2,Temperate Desesrts,-
Dire Hawk,['(MM2 p07) - (RotW p18) - (3.5up p32)'],Animal,-,Medium ,5,2,Any Forest; Any Hills; Any Plains; Any Mountains,-
Dire Jackal,['(Sand p150)'],Animal,-,Large ,4,2,Warm Deserts,-
Dire Weasel,['(MM p065)'],Animal,-,Medium ,3,2,Temperate Hills,-
Elk,['(DR333 p087)'],Animal,-,Large ,3,2,Cold Forests,-
Erdlu,['(DU111 p091)'],Animal,-,Medium ,3,2,Warm Deserts,Dark Sun
Kank,['(DU110 p091)'],Animal,-,Large ,3,2,Warm Deserts,Dark Sun
Komodo Dragon use croc,['(DR328 p08) - (MM p271)'],Animal,-,Medium ,3,2,Warm Marshes,-
Leopard,['(MM p274)'],Animal,-,Medium ,3,2,Warm Forests,-
Lizard;  Monitor,['(MM p275)'],Animal,-,Medium ,3,2,Warm Forests,-
Rat Swarm,['(MM p239)'],Animal,Swarm,Tiny,4,2,Any,-
"Riding Bird (aka ""Chocobo"")",['(DR323 p035)'],Animal,-,Large ,4,2,Warm Plains; Warm Forest,-
"Riding Bird;  Black (aka ""Black Chocobo"")",['(DR323 p035)'],Animal,-,Large ,4,2,Warm Plains; Warm Forest,-
Sailsnake,['(MM4 p124)'],Animal,-,Medium ,3,2,Warm Forests,-
Sea Snake;  Viper;  Large,['(Storm p17) - (MM p280)'],Animal,-,Large ,3,2,Warm Aquatic,-
Seskarran,['(DU111 p097)'],Animal,-,Medium ,3,2,Warm Deserts,Dark Sun
Shark;  Large,['(MM p279)'],Animal,Aquatic,Large ,7,2,Cold Aquatic,-
Snake;  Constrictor,['(MM p279)'],Animal,-,Medium ,3,2,Warm Forests,-
Snake;  Viper;  Large,['(MM p280)'],Animal,-,Large ,3,2,Temperate Marshes,-
Walrus,['(Frost p165)'],Animal,-,Large ,5,2,Cold Aquatic,-
Warhorse;  Heavy,['(MM p273)'],Animal,-,Large ,4,2,Temperate Plains,-
Wolverine,['(MM p283)'],Animal,-,Medium ,3,2,Cold Forests,-
Crodlu,['(DU110 p087)'],Animal,-,Large ,4,3,Warm Deserts,Dark Sun
Desmodu Guard Bat,['(MM2 p06) - (3.5up p32)'],Animal,-,Large ,4,3,Underground,-
Desmodu Hunting Bat,['(MM2 p06) - (3.5up p32)'],Animal,-,Medium ,4,3,Underground,-
