Abyssal Skulker,MM2,57,"Outsider (Chaotic, Extraplanar, Evil)",2,Small
Achaierai,MM,9,"Outsider (Evil, Extraplanar, Lawful)",5,Large
Adamantine Spider,DrU,106,Construct,3,Small
Adaru,MM5,20,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Medium
Advespa (Baatezu),MM2,67,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",3,Large
Ahuitzol,FF,14,Aberration (Aquatic),6,Large
Alaghi,Mon,14,Monstrous Humanoid,4,Medium
Albatross,Sto,165,Animal ,1/4,Small
Alchemy Beetle,SX,74,Construct,2,Small
Alkilith (Tanar'ri),FF,46,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",14,Medium
All-Consuming Hunger,Und,78,Undead (Swarm),8,Diminutive
Allip,MM,10,Undead (Incorporeal),3,Medium
Ambush Drake,MM3,8,Dragon,5,Medium
Amnizu,MM2,67,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Amnizu (Baatezu),FCII,112,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",7,Medium
Amphisbaena,SK,62,Magical Beast,5,Large
Ancient Night Twist,MM3,111,Plant,20,Huge
Androsphinx,MM,232,Magical Beast,9,Large
Angel of Decay,LM,83,Undead,15,Large
Anguillian,Sto,136,Aberration (Aquatic),2,Medium
"Animated Object, Colossal",MM,14,Construct,10,Colossal
"Animated Object, Gargantuan",MM,14,Construct,7,Gargantuan
"Animated Object, Huge",MM,14,Construct,5,Huge
"Animated Object, Large",MM,14,Construct,3,Large
"Animated Object, Medium",MM,13,Construct,2,Medium
"Animated Object, Small",MM,13,Construct,1,Small
"Animated Object, Tiny",MM,13,Construct,1/2,Tiny
Animated Rug of Welcome,CAr,150,Construct,5,Large
Ankheg,MM,14,Magical Beast,3,Large
Annihilator,Und,79,Aberration,15,Medium
"Ant Lion, Giant",Sa,196,Vermin,5,Large
"Ant, Giant Queen",MM,284,Vermin,2,Medium
"Ant, Giant Soldier",MM,284,Vermin,2,Medium
"Ant, Giant Worker",MM,284,Vermin,1,Medium
"Aoa, Droplet",FF,14,Outsider (Extraplanar),3,Medium
"Aoa, Sphere",FF,16,Outsider (Extraplanar),15,Huge
Ape,MM,268,Animal,2,Large
"Ape, Dire",MM,62,Animal,3,Large
"Ape, Legendary",MM2,137,Animal,7,Medium
Aranea,MM,15,Magical Beast (Shapechanger),4,Medium
"Arbalester, Homunculus",MoE,152,Construct,1/2,Tiny
Arcadian Avenger,MM5,8,"Outsider (Extraplanar, Good, Lawful)",6,Medium
Arcane Ballista,FW,149,Construct,5,Large
Arcane Guard,MM4,56,Humanoid (Elf),8,Medium
"Archon, Hammer",RS,188,"Outsider (Archon, Earth, Extraplanar, Good, Lawful)",9,Large
"Archon, Hound",MM,16,"Outsider (Archon, Extraplanar, Good, Lawful)",4,Medium
"Archon, Hound Hero",MM,17,"Outsider (Archon, Extraplanar, Good, Lawful)",16,Medium
"Archon, Lantern",MM,16,"Outsider (Archon, Extraplanar, Good, Lawful)",2,Small
"Archon, Owl",BE,159,"Outsider (Archon, Extraplanar, Good, Lawful)",11,Large
"Archon, Sword",BE,160,"Outsider (Archon, Extraplanar, Good, Lawful)",11,Large
"Archon, Throne",BE,162,"Outsider (Archon, Extraplanar, Good, Lawful)",15,Large
"Archon, Trumpet",MM,18,"Outsider (Archon, Extraplanar, Good, Lawful)",14,Medium
"Archon, Warden",BE,163,"Outsider (Archon, Extraplanar, Good, Lawful)",8,Large
"Archon, Word",TM,264,"Outsider (Archon, Extraplanar, Good, Lawful)",9,Medium
Arkamoi,MM5,184,Monstrous Humanoid,4,Medium
Armand,MM3,10,Monstrous Humanoid,3,Small
Armand Warden,MM3,11,Monstrous Humanoid,7,Small
Armanite,FCI,28,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",7,Large
"Armanite, Demon (Tanar'ri)",MP,164,"Outsider (Chaotic, Evil)",7,Large
"Arrowhawk, Adult",MM,19,"Outsider (Air, Extraplanar)",5,Medium
"Arrowhawk, Elder",MM,19,"Outsider (Air, Extraplanar)",8,Large
"Arrowhawk, Juvenile",MM,19,"Outsider (Air, Extraplanar)",3,Small
Artaaglith,Gh,157,"Outsider (Chaotic, Evil)",6,Medium
Asabi,Mon,15,Humanoid (Reptilian),1,Medium
Ascendant Councilor,ECS,276,Deathless,18,Medium
Ascomoid,Du,105,Plant,4,Medium
Ash Rat,MM2,24,Magical Beast (Fire),1,Small
Ashen Husk,Sa,137,Undead,3,Medium
Asherati,Sa,139,Humanoid,1/2,Medium
Ashworm,Sa,140,Magical Beast,2,Large
Aspect of Asmodeus,FCII,155,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",27,Large
Aspect of Asmodeus,MH,47,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Aspect of Baalzebul,FCII,151,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",23,Huge
Aspect of Bahamut,DM,108,Dragon (Extraplanar),12,Huge
Aspect of Bahamut,MH,48,Dragon (Extraplanar),10,Large
Aspect of Bel,FCII,142,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",20,Large
Aspect of Belial,FCII,146,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
Aspect of Demogorgon,MH,49,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",9,Large
Aspect of Dispater,FCII,143,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
Aspect of Glasya,FCII,150,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",22,Large
Aspect of Graz'zt,EDP,184,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",11,Large
Aspect of Hextor,MH,50,"Outsider (Evil, Extraplanar, Lawful)",11,Large
Aspect of Kord,MH,50,"Outsider (Chaotic, Extraplanar, Good)",11,Large
Aspect of Levistus,FCII,148,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Medium
Aspect of Lolth,MH,51,"Outsider (Chaotic, Evil, Extraplanar)",11,Large
Aspect of Mammon,FCII,145,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",21,Huge
Aspect of Mephistopheles,FCII,153,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",24,Large
Aspect of Mephistopheles,MH,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Aspect of Nerull,MH,52,"Outsider (Evil, Extraplanar)",12,Large
Aspect of Obox-Ob,EDP,186,"Outsider (Chaotic, Evil, Extraplanar, Obyrith)",8,Large
Aspect of Orcus,MH,53,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",9,Large
Aspect of Tiamat,DM,110,Dragon (Extraplanar),13,Huge
Aspect of Tiamat,MH,54,Dragon (Extraplanar),10,Large
Aspect of Vecna,MH,54,Undead,10,Medium
Aspect of Yeenoghu,EDP,188,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Large
Asperi,MM2,25,Magical Beast (Cold),4,Large
Assassin Devil (Dogai),FCII,114,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",11,Medium
Assassin Vine,MM,20,Plant,3,Large
"Astral Construct, 1st Level",XPH,185,Construct,1/2,Small
"Astral Construct, 2nd Level",XPH,185,Construct,1,Medium
"Astral Construct, 3rd Level",XPH,185,Construct,2,Medium
"Astral Construct, 4th Level",XPH,185,Construct,3,Medium
"Astral Construct, 5th Level",XPH,185,Construct,5,Large
"Astral Construct, 6th Level",XPH,185,Construct,7,Large
"Astral Construct, 7th Level",XPH,185,Construct,8,Large
"Astral Construct, 8th Level",XPH,185,Construct,9,Large
"Astral Construct, 9th Level",XPH,185,Construct,10,Huge
Astral Deva (Angel),MM,11,"Outsider (Angel, Extraplanar, Good)",14,Medium
Astral Dreadnought,MP,159,Outsider,17,Gargantuan
Astral Kraken,PlH,109,Vermin (Extraplanar),16,Gargantuan
Astral Stalker,MM3,12,Outsider,12,Medium
Asura,BE,164,"Outsider (Chaotic, Extraplanar, Good)",8,Medium
Athach,MM,21,Aberration,8,Huge
Atropal Scion,LM,84,Undead,11,Medium
Aurumvorax,ERG,216,Magical Beast,8,Small
"Automaton, Hammerer",MM2,27,Construct,3,Medium
"Automaton, Pulverizer",MM2,27,Construct,3,Medium
Avalancher,MM3,13,Magical Beast (Earth),5,Large
Aventi,Sto,138,"Humanoid (Human, Aquatic)",1/2,Medium
Aventi Sergeant,Sto,138,"Humanoid (Human, Aquatic)",3,Medium
Avolakia,MM2,28,Aberration,10,Large
Ayperobos Swarm,FCII,115,"Outsider (Baatezu, Evil, Extraplanar, Lawful, Swarm)",12,Diminutive
Azer,MM,21,"Outsider (Extraplanar, Fire)",2,Medium
Babau (Demon),MM,40,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",6,Medium
Babau (Tanar'ri),BV,173,"Outsider (Chaotic, Evil, Tanar'ri)",7,Medium
Baboon,MM,268,Animal,1/2,Medium
Bacchae,FF,18,Outsider (Extraplanar),2,Medium
Badger,MM,268,Animal,1/2,Small
"Badger, Dire",MM,62,Animal,2,Medium
"Bahamut, the Platinum Dragon",MP,133,Dragon,25,Colossal
Bajang,OA,145,Fey (Spirit),3,Small
Bakemono,OA,146,"Humanoid (Goblinoid, Shadowlands)",1/2,Small
Baleen Whale,MM,282,Animal,6,Gargantuan
Balhannoth,MM4,15,Aberration,10,Large
Balor (Demon),MM,40,"Outsider (Chaotic, Extraplanar, Evil, Tanar'ri)",20,Large
Bane Wraith,HH,139,Undead (Incorporeal),8,Medium
Banedead,Mon,16,Undead,3,Medium
Baneguard,LE,162,Undead,2,Medium
Banelar,Mon,18,Magical Beast,5,Huge
Banshee,MM2,30,Undead (Incorporeal),17,Medium
Banshrae,MM5,10,Fey,8,Medium
Baphitaur,Und,82,Outsider (Native),2,Medium
Bar-Lgura,FCI,29,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",5,Medium
Bar-lgura (Tanar'ri),BV,171,"Outsider (Chaotic, Evil, Tanar'ri)",5,Medium
Barbed Devil (Hamatula),MM,51,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",11,Medium
Barghest,MM,22,"Outsider (Evil, Extraplanar, Lawful, Shapechanger)",4,Medium
"Barghest, Greater",MM,23,"Outsider (Evil, Extraplanar, Lawful, Shapechanger)",5,Large
Bariaur,BE,165,"Outsider (Chaotic, Extraplanar, Good)",3,Large
"Bariaur, Defender of Ysgard",BE,165,"Outsider (Chaotic, Extraplanar, Good)",9,Large
Barracuda,Sto,166,Animal (Aquatic),1/2,Medium
"Barracuda, Dire",Sto,147,Animal (Aquatic),4,Large
Basilisk,MM,23,Magical Beast,5,Medium
"Basilisk, Abyssal Greater",MM,24,"Outsider (Augmented Magical Beast, Extraplanar)",12,Large
"Bat, Desmodu Guard",MM2,66,Animal,3,Large
"Bat, Desmodu Hunting",MM2,66,Animal,3,Medium
"Bat, Desmodu War",MM2,66,Animal,5,Huge
"Bat, Dire",MM,62,Animal,2,Large
"Bat, Fire",MM2,102,"Elemental (Fire, Extraplanar)",3,Small
"Bat, Guard",MM2,66,Animal,3,Large
"Bat, Hunting",MM2,66,Animal,3,Medium
"Bat, War",MM2,66,Animal,5,Huge
Battle Effigy,CV,153,Construct,6,Medium
Battle Horror,LE,176,Construct,12,Medium
Battlebriar,MM3,14,Plant,15,Huge
"Bazim-Gorag, the Firebringer",CR,152,"Outsider (Chaotic, Evil, Extraplanar)",21,Large
"Bear, Black",MM,269,Animal,2,Medium
"Bear, Brown",MM,269,Animal,4,Large
"Bear, Dire",MM,62,Animal,7,Large
"Bear, Legendary",MM2,138,Animal,9,Large
"Bear, Polar",MM,269,Animal,4,Large
Bearded Devil (Barbazu),MM,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",5,Medium
Bearhound,MM3,16,Magical Beast,7,Large
Beast of Malar,Mon,20,Shapechanger,11,Medium
Bebilith (Demon),MM,42,"Outsider (Chaotic, Extraplanar, Evil)",10,Huge
"Bee, Giant",MM,284,Vermin,1,Medium
"Beetle, Devastation",EL,178,Vermin,50,Colossal
"Beetle, Giant Bombadier",MM,284,Vermin,2,Medium
"Beetle, Giant Fire",MM,285,Vermin,1/3,Small
"Beetle, Giant Stag",MM,285,Vermin,4,Large
"Beetle, Knell",MM3,88,Vermin,10,Large
"Beetle, Knell Lesser",MM3,89,Vermin,5,Medium
Beguiler,ShS,60,Magical Beast,1,Small
"Behemoth, Eagle",EL,169,Outsider,18,Colossal
"Behemoth, Gorilla",EL,169,Outsider,19,Huge
Behir,MM,25,Magical Beast,8,Huge
"Behir, Halruaan",ShS,61,Magical Beast,6,Medium
Beholder,MM,25,Aberration,13,Large
"Beholder, Death Tyrant",FRCS,309,Undead,13,Large
"Beholder, Gauth",MM,26,Aberration,6,Medium
"Beholderkin, Death Kiss",Mon,22,Aberration,11,Large
"Beholderkin, Director",LoM,137,Aberration,8,Large
"Beholderkin, Eye of the Deep",LoM,138,Aberration (Aquatic),8,Large
"Beholderkin, Eyeball",Mon,23,Aberration,1/2,Tiny
"Beholderkin, Eyeball Swarm",EU,220,Aberration (Swarm),4,Diminutive
"Beholderkin, Gouger",Mon,24,Aberration,11,Large
"Beholderkin, Hive Mother",LoM,135,Aberration,16,Huge
"Beholderkin, Overseer",LoM,139,Aberration,15,Large
"Beholderkin, Spectator",LoM,140,Aberration (Extraplanar),4,Medium
"Beholderkin, Spectator (Faerun)",Mag,182,Aberration,6,Medium
Belker,MM,27,"Elemental (Air, Extraplanar)",6,Large
Bheur,Una,63,Monstrous Humanoid,9,Medium
Bhuka,Sa,141,Humanoid,1/2,Medium
Bhut,FF,20,Undead (Incorporeal),9,Medium
Bisan,OA,147,Fey (Spirit),5,Medium
Bison,MM,269,Animal,2,Large
Black Pudding,MM,201,Ooze,7,Huge
"Black Pudding, Elder",MM,201,Ooze,12,Gargantuan
Black Rock Triskelion (Earth Avatar),MM4,8,"Elemental (Earth, Extraplanar)",18,Large
Blackskate,Sto,139,Undead,4,Large
Blackspawn Exterminator,MM4,131,Monstrous Humanoid (Dragonblood),10,Medium
Blackspawn Raider,MM4,130,Monstrous Humanoid (Dragonblood),4,Medium
Blackspawn Stalker,MM4,134,Magical Beast (Dragonblood),9,Large
Blackstone Gigant,FF,21,Construct,18,Gargantuan
Blackwing,MM5,12,Undead,8,Large
Blade Guardian,CW,120,Construct,6,Medium
Blade Spirit,RT,157,Undead (Incorporeal),9,Medium
Bladeling,MM2,31,Outsider (Lawful),1,Medium
Bladerager Troll,MM5,180,Giant,8,Large
Blaspheme,LM,85,Undead,9,Medium
Blazewyrm,DM,111,Elemental (Fire),5,Large
Bleakborn,LM,86,Undead,7,Medium
Blink Dog,MM,28,Magical Beast,2,Medium
Blood Amniote,LM,87,Undead,9,Huge
Blood Ape,MM2,32,Magical Beast,6,Large
Blood Fiend,FF,47,Undead (Extraplanar),14,Medium
Blood Hawk,FF,22,Magical Beast,1/2,Small
Bloodbloater,FF,16,"Ooze (Aquatic, Swarm)",1,Medium
Bloodfire Ooze,MM4,18,Ooze (Fire),7,Huge
Bloodhulk Crusher,MM4,21,Undead,8,Huge
Bloodhulk Fighter,MM4,20,Undead,4,Medium
Bloodhulk Giant,MM4,20,Undead,6,Large
Bloodmote Cloud,LM,88,Undead (Swarm),6,Fine
Bloodrot,HH,140,Undead,7,Medium
Bloodsilk Spider,MM4,24,Magical Beast,2,Small
Bloodthorn,FF,23,Plant (Extraplanar),3,Large
Blue,XPH,189,"Humanoid (Goblinoid, Psionic)",1,Small
Bluespawn Ambusher,MM4,136,Magical Beast (Dragonblood),4,Medium
Bluespawn Burrower,MM4,138,Magical Beast (Dragonblood),9,Large
Bluespawn Godslayer,MM4,140,Monstrous Humanoid (Dragonblood),10,Huge
Bluespawn Stoneglider,DrF,105,"Monstrous Humanoid (Earth, Dragonblood)",3,Medium
Bluespawn Stormlizard,MM4,142,Magical Beast (Dragonblood),6,Large
Boar,MM,270,Animal,2,Medium
"Boar, Dire",MM,63,Animal,4,Large
"Boar, Razor",MM2,220,Beast,10,Large
Bodak,MM,28,Undead (Extraplanar),8,Medium
Bog Hag,OA,147,Shapechanger (Shadowlands),2,Medium
Bog Imp,HH,142,Fey (Aquatic),6,Small
Boggle,MM2,33,Monstrous Humanoid,3,Small
Bogun,CD,152,Construct,1,Tiny
Bone Devil (Osyluth),MM,52,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",9,Large
Bonebat,Mon,18,Undead,2,Medium
Boneclaw,MM3,17,Undead,5,Large
Bonedrinker,MM3,18,Undead,6,Medium
"Bonedrinker, Lesser",MM3,19,Undead,4,Small
Boneleaf,HH,143,Aberration,6,Large
Bonespear,FF,24,Vermin (Extraplanar),12,Large
Bonespur,MM5,156,Undead,3,Large
Boneyard,LM,89,Undead,14,Huge
Brachyurus,EL,170,Magical Beast,23,Large
Brain in a Jar,LM,90,Undead,4,Tiny
Brain Mole,XPH,190,Magical Beast (Psionic),1/2,Tiny
Branta,Fr,113,Magical Beast (Cold),2,Large
Brass Steed,HB,153,Construct,8,Large
Braxat,MM2,37,Monstrous Humanoid,9,Large
Breathdrinker,MM2,39,Elemental (Air),7,Medium
Breed Leech,MoE,154,Aberration (Symbiont),1,Tiny
Briarvex,MM4,26,Plant,6,Large
Bridge Haunt,MM5,78,Undead (Incorporeal),7,Medium
Bright Naga,MH,55,Aberration,3,Large
Brine Swimmer,Sa,195,Vermin,3,Large
Brixashulty,RW,186,Animal,1,Medium
Bronze Serpent,MM2,40,Construct,10,Huge
Brood Keeper,MM3,20,Magical Beast,16,Huge
Broodswarm,FCI,31,"Outsider (Chaotic, Evil, Extraplanar, Swarm)",6,Tiny
Bugbear,MM,29,Humanoid (Goblinoid),2,Medium
Bulette,MM,30,Magical Beast,7,Huge
Bulezau,FCI,33,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",9,Large
Bullywug,Mon,25,Humanoid (Aquatic),1,Medium
Burning Skeleton,RT,157,Undead,3,Medium
Burrow Root,MM5,14,Plant,8,Large
"Buso, Tigbanua",OA,148,Monstrous Humanoid,3,Medium
Cachalot Whale,MM,283,Animal,7,Gargantuan
Cadavar Collector,MM3,22,Construct,12,Large
"Cadavar Collector, Greater",MM3,23,Construct,17,Huge
Caller from the Deeps,Sto,140,Elemental (Water),9,Huge
Caller in Darkness,XPH,191,"Undead (Incorporeal, Psionic)",9,Large
Camel,MM,270,Animal,1,Large
"Camel, Dromedary",Sa,192,Animal,1,Large
"Camel, Two-Humped",Sa,193,Animal,1,Large
"Camel, War",Sa,193,Animal,2,Large
Camelopardel,Sa,141,Magical Beast,3,Large
"Canoloth, Yugoloth",MP,185,Outsider (Evil),6,Medium
Carcass Crab,ECS,277,Magical Beast,8,Huge
Carcass Eater,LM,91,Animal,1/2,Small
Caribou,Fr,164,Animal,1/3,Medium
Carnage Demon,MM5,22,"Outsider (Chaotic, Evil, Extraplanar)",4,Medium
Carrion Crawler,MM,30,Aberration,4,Large
Caryatid Column,FF,30,Construct,6,Medium
Cat,MM,270,Animal,1/4,Tiny
"Cat, Sea",MM,220,Magical Beast,4,Large
Cataboligne Demon,ERG,217,"Outsider (Chaotic, Evil, Extraplanar, Shapechanger)",10,Large
Catfolk,MH,56,Humanoid (Catfolk),1/2,Medium
Catoblepas,MM2,41,Aberration,6,Huge
Cavvekan,Rac,175,Magical Beast,1/2,Small
Centaur,MM,32,Monstrous Humanoid,3,Large
"Centipede, Colossal Monstrous",MM,287,Vermin,9,Colossal
"Centipede, Devastation",EL,178,Vermin,39,Colossal
"Centipede, Gargantuan Monstrous",MM,287,Vermin,6,Gargantuan
"Centipede, Huge Monstrous",MM,287,Vermin,2,Huge
"Centipede, Large Monstrous",MM,287,Vermin,1,Large
"Centipede, Least Spirit",OA,150,Outsider (Spirit),1/2,Diminutive
"Centipede, Lesser Spirit",OA,150,Outsider (Spirit),1,Tiny
"Centipede, Medium Monstrous",MM,287,Vermin,1/2,Medium
"Centipede, Small Monstrous",MM,287,Vermin,1/4,Small
"Centipede, Small Spirit",OA,150,Outsider (Spirit),2,Small
"Centipede, Tiny Monstrous",MM,287,Vermin,1/8,Tiny
Century Worm,FF,31,Vermin,19,Gargantuan
Ceratosaur,SK,64,Animal,7,Huge
Cerebrilith,XPH,192,"Outsider (Chaotic, Evil, Extraplanar, Psionic, Tanar'ri)",10,Large
Cesspit Ooze,Ci,128,Ooze,9,Large
"Chaggrin, Elemental Grue",CAr,153,"Elemental (Earth, Evil, Extraplanar)",2,Medium
Chain Devil (Kyton),MM,53,"Outsider (Baatezu, Evil, Extraplanar, Lawful)",6,Medium
Chaos Beast,MM,33,"Outsider (Chaotic, Extraplanar)",7,Medium
Chaos Roc,MM2,45,Magical Beast,22,Colossal
Charnel Hound,MM3,26,Undead,13,Huge
Chasme,FCI,34,"Outsider (Chaotic, Evil, Extraplanar, Tanar'ri)",10,Large
Chasme (Tanar'ri),BV,174,"Outsider (Chaotic, Evil, Tanar'ri)",10,Large
Cheetah,MM,271,Animal,2,Medium
Chekryan,Sa,142,Magical Beast,4,Large
Chelicera,MM3,27,Vermin,6,Medium
"Chiang Lung (River Dragon), Adult",OA,155,"Dragon (Spirit, Water)",14,Huge
"Chiang Lung (River Dragon), Ancient",OA,155,"Dragon (Spirit, Water)",22,Gargantuan
"Chiang Lung (River Dragon), Great Wyrm",OA,155,"Dragon (Spirit, Water)",25,Colossal
"Chiang Lung (River Dragon), Juvenile",OA,155,"Dragon (Spirit, Water)",9,Large
"Chiang Lung (River Dragon), Mature Adult",OA,155,"Dragon (Spirit, Water)",17,Huge
"Chiang Lung (River Dragon), Old",OA,155,"Dragon (Spirit, Water)",19,Gargantuan
"Chiang Lung (River Dragon), Very Old",OA,155,"Dragon (Spirit, Water)",20,Gargantuan
"Chiang Lung (River Dragon), Wyrm",OA,155,"Dragon (Spirit, Water)",23,Gargantuan
"Chiang Lung (River Dragon), Young Adult",OA,155,"Dragon (Spirit, Water)",12,Huge
Chilblain,Fr,114,Aberration (Cold),18,Large
Chilling Fog,MM3,92,Ooze,9,Large
Chimera,MM,34,Magical Beast,7,Large
Chitine,Mon,26,Monstrous Humanoid,1,Small
Choker,MM,34,Aberration,2,Small
"Choker, Shadow",LoM,167,Aberration (Extraplanar),3,Small
Choldrith,Mon,27,Aberration,4,Large
Chordevoc,RW,188,Animal,1/2,Tiny
Chosen One,Mon,27,Monstrous Humanoid,2,Medium
Chraal,MM3,28,Elemental (Cold),6,Large
Chronotyryn,FF,33,Magical Beast (Extraplanar),19,Large
Chuul,MM,35,Aberration (Aquatic),7,Large
Chwidencha,DrU,108,Aberration,9,Large
Cildabrin,LoM,141,Aberration,7,Large
Cinderspawn,LM,91,Undead (Fire),6,Large
Climbdog,AE,76,Animal,1,Small
Cloaked Ape,MM2,46,Magical Beast,2,Medium
Cloaker,MM,36,Aberration,5,Large
Cloaker Lord,Mon,28,Aberration,7,Huge
"Cloaker, Shadowcloak Elder",LoM,142,Aberration (Extraplanar),11,Huge
Clockroach,MM4,28,Construct,1,Small
"Clockwork Horror, Adamantine",MM2,47,Construct,9,Small
"Clockwork Horror, Electrum",MM2,47,Construct,4,Small
"Clockwork Horror, Gold",MM2,47,Construct,5,Small
"Clockwork Horror, Platinum",MM2,47,Construct,7,Small
Clockwork Mender,MM4,30,"Construct (Extraplanar, Lawful)",1/2,Tiny
Clockwork Steed,MM4,32,Construct,3,Large
Cloud Ray,MM2,49,Magical Beast,16,Colossal
Cockatrice,MM,37,Magical Beast,3,Small
"Cockroach, Giant",Und,87,Vermin,2,Medium
"Colossus, Flesh",EL,171,Construct,27,Colossal
"Colossus, Iron",EL,171,Construct,33,Colossal
"Colossus, Stone",EL,171,Construct,24,Colossal
Concordant Killer,MM4,34,Outsider (Extraplanar),19,Large
Constrictor Snake,MM,279,Animal,2,Medium
"Constrictor Snake, Giant",MM,280,Animal,5,Huge
Corollax,MM2,50,Magical Beast,1/2,Tiny
Corpse Gatherer,MM2,51,Undead,19,Gargantuan
Corruption Eater,HH,144,Aberration,8,Medium
Corruptor of Fate,MM4,190,"Outsider (Evil, Extraplanar, Yugoloth)",5,Medium
Corruptor of Fate Assassin,MM4,190,"Outsider (Evil, Extraplanar, Yugoloth)",10,Medium
Corrupture,MM4,36,Ooze (Aquatic),9,Huge
Couatl,MM,37,Outsider (Native),10,Large
"Couatl, Psionic",XPH,193,"Outsider (Native, Psionic)",10,Large
Craa'ghoran Giant,MM4,60,Giant (Earth),10,Huge
"Crab, Colossal Monstrous",Sto,141,Vermin,13,Colossal
"Crab, Gargantuan Monstrous",Sto,141,Vermin,10,Gargantuan
"Crab, Huge Monstrous",Sto,141,Vermin,7,Huge
"Crab, Large Monstrous",Sto,141,Vermin,4,Large
"Crab, Medium Monstrous",Sto,141,Vermin,2,Medium
"Crab, Small Monstrous",Sto,141,Vermin,1/2,Small
Crawling Apocalypse,Sa,143,Undead,11,Gargantuan
Crawling Claw,Mon,29,Construct,1/3,Diminutive
Crawling Gauntlet,MoE,155,Aberration (Symbiont),1,Tiny
Crawling Head,FF,35,Undead,20,Huge
Crazed Kuo-Toa,MM5,94,Monstrous Humanoid (Aquatic),3,Medium
Crimson Death,MM2,53,Undead (Incorporeal),11,Medium
Criosphinx,MM,233,Magical Beast,7,Large
Crocodile,MM,271,Animal,2,Medium
"Crocodile, Giant",MM,271,Animal,4,Huge
Crossroads Guardian,Mag,183,Fey (Incorporeal),7,Huge
Crucian,MH,58,Humanoid (Reptilian),2,Medium
"Cryohydra, Eight-Headed",MM,157,Magical Beast (Cold),9,Huge
