Janni,3,0,1
Ghaele,1,0,1
Ghost,1,0,1
Ghoul,1,1,1
Lacedon,0,0,1
Ghast,1,1,1
Giant,1,0,1
Cloud Giant,1,0,1
Fire Giant,2,0,1
Frost Giant,3,1,1
Frost Giant Jarl,3,2,1
Hill Giant,4,0,1
Stone Giant,5,0,1
Stone Giant Elders,0,0,1
Storm Giant,6,0,1
Gibbering Mouther,1,0,1
Girallon,1,0,1
Gnoll,1,0,1
Gnome,1,1,1
Svirfneblin,1,2,1
Forest Gnome,0,0,1
Goblin,1,0,1
Golem,0,0,1
Clay Golem,1,0,1
Flesh Golem,2,0,1
Iron Golem,3,0,1
Stone Golem,4,1,1
Greater Stone Golem,4,2,1
Gorgon,1,0,1
Gray Render,1,0,1
Grick,1,0,1
Griffon,1,0,1
Grimlock,1,0,1
Hag,0,0,1
Annis,1,0,1
Green Hag,2,0,1
Sea Hag,3,0,1
Half-Celestial,0,0,1
Half-Dragon,0,0,1
Half-Fiend,0,0,1
Halfling,1,0,1
Tallfellow,0,0,1
Deep Halfling,0,0,1
Harpy,1,1,1
Harpy Archer,1,2,1
Hell Hound,1,1,1
Nessian Warhound,1,2,1
Hippogriff,1,0,1
Hobgoblin,1,0,1
Homunculus,1,0,1
Howler,1,0,1
Hydra,1,1,3
Hydra,2,1,3
Hydra,3,1,2
Pyrohydra,0,0,1
Cryohydra,0,0,1
Inevitable,0,0,1
Kolyarut,1,0,1
Marut,2,0,1
Zelekhut,3,0,1
Invisible Stalker,1,0,1
Kobold,1,0,1
Kraken,1,0,1
Krenshar,1,0,1
Lamia,1,0,1
Lammasu,1,1,1
Golden Protector,1,2,1
Leonal,1,0,1
Lich,1,0,1
Lillend,1,0,1
Lizardfolk,1,0,1
Locathah,1,0,1
Lycanthrope,0,0,1
Werebear,1,1,3
Wereboar,2,1,3
Hill Giant Dire Wereboar,3,1,3
Wererat,4,1,3
Weretiger,5,1,3
Werewolf,6,1,3
Werewolf Lord,7,1,3
Magmin,1,0,1
Manticore,1,0,1
Medusa,1,0,1
Mephit,0,0,1
Air Mephit,1,0,1
Dust Mephit,2,0,1
Earth Mephit,3,0,1
Fire Mephit,4,0,1
Ice Mephit,5,0,1
Magma Mephit,6,0,1
Ooze Mephit,7,0,1
Salt Mephit,8,0,1
Steam Mephit,9,0,1
Water Mephit,10,0,1
Merfolk,1,0,1
Mimic,1,0,1
Minotaur,1,0,1
Mohrg,1,0,1
Mummy,1,1,1
Mummy Lord,1,2,1
Naga,0,0,1
Dark Naga,1,0,1
Guardian Naga,2,0,1
Spirit Naga,3,0,1
Water Naga,4,0,1
Night Hag,1,0,1
Nightmare,1,1,1
Cauchemar,1,2,1
Nightshade,0,0,1
Nightcrawler,1,0,1
Nightwalker,2,0,1
Nightwing,3,0,1
Nymph,1,0,1
Ogre,1,1,1
Ogre Barbarian,1,2,1
Merrow,0,0,1
Ogre Mage,1,0,1
Ooze,0,0,1
Black Pudding,1,1,1
Elder Black Pudding,1,2,1
Gelatinous Cube,2,0,1
Gray Ooze,3,0,1
Ochre Jelly,4,0,1
Orc,1,0,1
Half-Orcs,0,0,1
Otyugh,1,0,1
"Owl, Giant",1,0,1
Owlbear,1,0,1
Pegasus,1,0,1
Phantom Fungus,1,0,1
Phase Spider,1,0,1
Phasm,1,0,1
Planetouched,0,0,1
Aasimar,1,0,1
Tiefling,2,0,1
Pseudodragon,1,0,1
Purple Worm,1,0,1
Rakshasa,1,0,1
Rast,1,0,1
Ravid,1,0,1
Razor Boar,1,0,1
Remorhaz,1,0,1
Roc,1,0,1
Roper,1,0,1
Rust Monster,1,0,1
Sahuagin,1,0,1
Sahuagin Mutants,0,0,1
Malenti,0,0,1
Salamander,1,0,1
Satyr,1,0,1
Scorpionfolk,0,0,1
Sea Cat,1,0,1
Shadow,1,1,1
Greater Shadow,1,2,1
Shadow Mastiff,1,0,1
Shambling Mound,1,0,1
Shield Guardian,1,0,1
Shocker Lizard,1,0,1
Skeleton,4,1,3
Skeleton,5,1,3
Skeleton,6,1,3
Skum,1,0,1
Spectre,1,0,1
Sphinx,0,0,1
Androsphinx,1,0,1
Criosphinx,2,0,1
Gynosphinx,3,0,1
Hieracosphinx,4,0,1
Spider Eater,1,0,1
Sprite,0,0,1
Grig,1,0,1
Nixie,2,0,1
Pixie,3,0,1
Stirge,1,0,1
Swarm,0,0,1
Bat Swarm,1,0,1
Centipede Swarm,2,0,1
Hellwasp Swarm,3,0,1
Locust Swarm,4,0,1
Rat Swarm,5,0,1
Spider Swarm,6,0,1
Tarrasque,1,0,1
Tendriculos,1,0,1
Thoqqua,1,0,1
Titan,1,0,1
Tojanida,1,0,1
Treant,1,0,1
Triton,1,0,1
Troglodyte,1,0,1
Troll,1,1,2
Scrag,0,0,1
Troll Hunter,1,0,1
Unicorn,1,1,1
Celestial Charger,1,2,1
Vampire,0,0,1
Vampire Spawn,2,0,1
Vargouille,1,0,1
Wight,1,0,1
Will-O'-Wisp,1,0,1
Winter Wolf,1,0,1
Worg,1,0,1
Wraith,1,1,1
Dread Wraith,1,2,1
Wyvern,1,0,1
Xill,1,0,1
Xorn,1,0,1
Yeth Hound,1,0,1
Yrthak,1,0,1
Zombie,4,1,3
Zombie,5,1,3
Zombie,6,1,3
Ape,1,0,1
Baboon,1,0,1
Badger,1,0,1
Bat,1,0,1
"Bear, Black",1,0,1
"Bear, Brown",1,0,1
"Bear, Polar",1,0,1
Bison,1,0,1
Boar,1,0,1
Camel,1,0,1
Cat,1,0,1
Cheetah,1,0,1
Crocodile,1,0,1
"Crocodile, Giant",1,0,1
Dog,1,0,1
"Dog, Riding",1,0,1
Donkey,1,0,1
Eagle,1,0,1
Elephant,1,0,1
Hawk,1,0,1
Horse,0,0,1
"Horse, Heavy",1,0,1
"Horse, Light",2,0,1
"Warhorse, Heavy",3,0,1
"Warhorse, Light",4,0,1
Hyena,1,0,1
Leopard,1,0,1
Lion,1,0,1
Lizard,1,0,1
"Lizard, Monitor",1,0,1
Manta Ray,1,0,1
Monkey,1,0,1
Mule,1,0,1
Octopus,1,0,1
"Octopus, Giant",1,0,1
Owl,1,0,1
Pony,1,0,1
"Pony, War",1,0,1
Porpoise,1,0,1
Rat,1,0,1
Raven,1,0,1
Rhinoceros,1,0,1
Shark,1,0,1
Snake,0,0,1
Constrictor Snake,1,1,2
Viper Snake,2,1,2
Viper Snake,3,1,3
Squid,1,0,1
"Squid, Giant",1,0,1
Tiger,1,0,1
Toad,1,0,1
Weasel,1,0,1
Whale,0,0,1
Baleen Whale,1,0,1
Cachalot Whale,2,0,1
Orca,3,0,1
Wolf,1,0,1
Wolverine,1,0,1
Giant Ant,1,0,1
Giant Bee,1,0,1
Giant Bombardier Beetle,1,0,1
Giant Fire Beetle,1,0,1
Giant Stag Beetle,1,0,1
Giant Praying Mantis,1,0,1
Giant Wasp,1,0,1
Monstrous Centipede,1,0,1
Monstrous Scorpion,1,0,1
Monstrous Spider,1,0,1
